i,j,n_i,n_j,n_pairs_used,d_ij,cos_ij,cos_dist,med_T_sim,med_T_dist
2,44,200,200,40000,10.014466329507382,-0.32670167681193685,1.3267016768119368,0.10227272727272728,0.8977272727272727
2,45,200,200,40000,8.868785879900004,-0.048441565213299106,1.048441565213299,0.11650485436893204,0.883495145631068
2,46,200,178,35600,9.847288954660508,-0.3087549959840554,1.3087549959840554,0.11235955056179775,0.8876404494382022
2,47,200,149,29800,7.589348220795935,0.223993835884895,0.776006164115105,0.07317073170731707,0.926829268292683
2,48,200,200,40000,9.213628859019106,-0.1601044137725994,1.1601044137725993,0.06542056074766354,0.9345794392523364
2,49,200,200,40000,9.151138530708225,-0.1589953064936123,1.1589953064936123,0.07608695652173914,0.9239130434782609
2,50,200,200,40000,8.399073506069854,0.01765144656156533,0.9823485534384346,0.10526315789473684,0.8947368421052632
2,51,200,200,40000,8.592636795855059,-0.031599872480969016,1.031599872480969,0.07246376811594203,0.927536231884058
2,52,200,200,40000,7.317712421207401,0.24760786084598707,0.7523921391540129,0.10784313725490197,0.892156862745098
2,53,200,200,40000,8.826386652578996,-0.11533208399477597,1.115332083994776,0.0875,0.9125
2,54,200,200,40000,8.03914607719513,0.0626826901224029,0.9373173098775971,0.11956521739130435,0.8804347826086957
2,55,200,200,40000,8.166390913266035,0.020942095897261894,0.9790579041027381,0.1322314049586777,0.8677685950413223
2,56,200,200,40000,8.109945149015953,0.024061390571325825,0.9759386094286742,0.075,0.925
2,57,200,200,40000,7.875009377172985,0.052401149594248825,0.9475988504057512,0.10891089108910891,0.8910891089108911
2,58,200,200,40000,7.688049197891982,0.08913827687755023,0.9108617231224497,0.10126582278481013,0.8987341772151899
2,59,200,200,40000,7.986920325872832,-0.053552417660047785,1.0535524176600477,0.11363636363636363,0.8863636363636364
3,4,200,200,40000,8.423117082928874,0.13811273813909525,0.8618872618609048,0.1625,0.8375
3,5,200,200,40000,6.969219540995789,0.4010444609212158,0.5989555390787842,0.1271186440677966,0.8728813559322034
3,6,200,200,40000,8.717711741840809,0.05234366065814535,0.9476563393418547,0.10784313725490197,0.892156862745098
3,7,200,200,40000,8.651431495879327,0.05297565116520099,0.947024348834799,0.08181818181818182,0.9181818181818182
3,8,200,200,40000,9.758780341449198,-0.22413426004180445,1.2241342600418044,0.1411764705882353,0.8588235294117648
3,9,200,200,40000,8.093720804445864,0.15758817318239407,0.842411826817606,0.05263157894736842,0.9473684210526316
3,10,200,200,40000,9.807315811942942,-0.25705785291979855,1.2570578529197984,0.1,0.9
3,11,200,200,40000,9.086552735662424,-0.09112644954693681,1.0911264495469368,0.14285714285714285,0.8571428571428572
3,12,200,200,40000,7.613260356095282,0.2323362554852897,0.7676637445147103,0.0821917808219178,0.9178082191780822
3,13,200,200,40000,8.649164201142337,-0.0006192613015384887,1.0006192613015386,0.1375,0.8625
3,14,200,200,40000,8.886187460759778,-0.07227463386939499,1.072274633869395,0.12048192771084337,0.8795180722891567
3,15,200,200,40000,8.972727012002327,-0.10634454991376883,1.1063445499137687,0.10752688172043011,0.8924731182795699
3,16,200,200,40000,7.6639738131002115,0.18869802310235512,0.8113019768976448,0.18666666666666668,0.8133333333333334
3,17,200,200,40000,7.885489509114253,0.1356115944073939,0.8643884055926061,0.13095238095238096,0.8690476190476191
3,18,200,200,40000,9.162934201152073,-0.18032217167175313,1.1803221716717531,0.09411764705882353,0.9058823529411765
3,19,200,200,40000,9.053473190416414,-0.1665885086082829,1.166588508608283,0.12658227848101267,0.8734177215189873
3,20,200,200,40000,8.704075862841611,-0.08831134203579731,1.0883113420357973,0.06493506493506493,0.935064935064935
3,21,200,200,40000,8.130645466318803,0.05105022676504846,0.9489497732349516,0.14814814814814814,0.8518518518518519
3,22,200,200,40000,7.901686851953332,0.09177082777961779,0.9082291722203822,0.10526315789473684,0.8947368421052632
3,23,200,200,40000,7.200625664045944,0.24297808712108482,0.7570219128789152,0.13793103448275862,0.8620689655172413
3,24,200,200,40000,6.992789013224481,0.28129567367581043,0.7187043263241896,0.14457831325301204,0.8554216867469879
3,25,200,200,40000,7.669969031962087,0.11181693042465685,0.8881830695753432,0.13,0.87
3,26,200,200,40000,8.31259386171331,-0.07131569863509761,1.0713156986350976,0.12987012987012986,0.8701298701298701
3,27,200,200,40000,7.964524615463617,0.011341966674104796,0.9886580333258952,0.12987012987012986,0.8701298701298701
3,28,200,200,40000,7.084712913119451,0.2054015232933466,0.7945984767066534,0.14666666666666667,0.8533333333333333
3,29,200,200,40000,8.236613328094323,-0.1636870079555031,1.163687007955503,0.13333333333333333,0.8666666666666667
3,30,200,200,40000,9.16989267189236,0.11536368186638102,0.884636318133619,0.12389380530973451,0.8761061946902655
3,31,200,200,40000,10.494535535780269,-0.25191248180224257,1.2519124818022425,0.13793103448275862,0.8620689655172413
3,32,200,79,15800,8.729986862873334,0.10571983503489217,0.8942801649651079,0.17142857142857143,0.8285714285714285
3,33,200,200,40000,9.059811249085929,0.02081830542340969,0.9791816945765903,0.1111111111111111,0.8888888888888888
3,34,200,200,40000,9.494616507192992,-0.09287811398920141,1.0928781139892014,0.10810810810810811,0.8918918918918919
